p_alive,n_estimated,urgency,is_closed,p1,p7,p9,score,decision,sample_source
1.0,1.6379536604513354,1,0,4.913860981354006,0.0,0.0,4.913860981354006,0,uniform
0.7320566317714705,3.3507374011134394,3,1,22.076365822288157,2.143546945828236,0.0,19.93281887645992,1,uniform
1.0,2.188020458537388,5,0,32.82030687806082,0.0,0.0,32.82030687806082,1,uniform
0.11953032453139856,4.713315588518181,3,1,5.070457277230302,7.0437574037488115,6.48986318484063,-8.46316331135914,0,uniform
0.7036023050074518,4.487468036618038,1,1,9.472178562635147,2.3711815599403856,0.0,7.100997002694761,0,uniform
1.0,4.71402396173498,1,0,14.142071885204938,0.0,0.0,14.142071885204938,1,uniform
0.946639742885941,4.518913017025756,1,1,12.833347969683581,0.42688205691247205,0.0,12.40646591277111,0,boundary
0.5477031701065116,2.3807830593751484,1,1,3.911887286866944,3.6183746391479072,0.0,0.29351264771903685,0,uniform
0.568563469742169,3.692070747963552,5,1,31.487648324935837,3.451492242062648,0.47154795386746495,27.564608129005723,1,uniform
1.0,3.261830598324115,1,0,9.785491794972344,0.0,0.0,9.785491794972344,0,uniform
0.20490228331196125,4.357029290729541,1,1,2.678295750382734,6.36078173350431,3.160284925609104,-6.84277090873068,0,uniform
0.9419764486440845,4.778821546579618,1,1,13.5046120474527,0.4641884108473242,0.0,13.040423636605375,1,boundary
1.0,2.709990290885685,3,0,24.38991261797117,0.0,0.0,24.38991261797117,1,uniform
0.961269749987544,4.808106037942745,1,1,13.86566066702047,0.309842000099648,0.0,13.555818666920821,1,boundary
0.33710913042844437,4.597105582916816,3,1,13.947536389903512,5.303126956572445,1.9207082610026682,6.723701172328399,0,uniform
1.0,1.9946779145421942,5,0,29.920168718132913,0.0,0.0,29.920168718132913,1,uniform
0.5123152812695917,1.6670559208438367,3,1,7.6865240068132366,3.9014777498432665,0.0,3.78504625696997,0,uniform
1.0,3.4194753350566405,5,0,51.29213002584961,0.0,0.0,51.29213002584961,1,uniform
0.2912589017297635,4.453930232392047,3,1,11.675221450807479,5.669928786161892,2.8835630636749667,3.1217296009706206,0,p9_kink
0.5015640147221506,1.9233990710521751,3,1,8.682369839908056,3.987487882222795,0.0,4.6948819576852605,0,uniform
0.8635660986001876,3.286388417943181,5,1,42.570204368520535,1.091471211198499,0.0,41.47873315732204,1,uniform
